C.D.S.  -  SIMBAD4 rel 1.8  -  2025.04.02CEST05:40:14

plx >8.49&plx< 8.51&Vmag< 20&Bmag< 20&maintypes='*'
---------------------------------------------------

Number of objects : 507

 # ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;     spec. type     
---;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;--------------------
1  ;V* V662 And                        ;EB*;23 28 27.4979946600 +45 22 40.281378348;     ~   ;11.23    ;10.59    ;     ~   ;10.485515;K0V                 
2  ;TYC 2845-1138-1                    ;*  ;02 41 11.9553241920 +38 44 54.019092264;     ~   ;12.40    ;11.61    ;     ~   ;11.325298;~                   
3  ;TYC 2699-1424-1                    ;PM*;20 47 16.0625993352 +36 46 29.971960932;     ~   ;10.39    ;9.78     ;     ~   ;9.605760 ;~                   
4  ;HD 196791                          ;*  ;20 38 11.2398432912 +38 32 48.164188560;     ~   ;9.14     ;8.29     ;     ~   ;8.070983 ;G5                  
5  ;BD+39 4272                         ;PM*;20 40 15.5126081304 +39 58 06.072272760;     ~   ;9.91     ;9.24     ;     ~   ;9.099178 ;G0                  
6  ;TYC 3609-1614-1                    ;PM*;21 57 31.2946624008 +48 12 10.461452760;     ~   ;11.93    ;10.94    ;     ~   ;10.695959;~                   
7  ;HD 235787                          ;PM*;22 17 48.3693924024 +50 57 15.932076912;     ~   ;9.43     ;8.93     ;     ~   ;8.791523 ;F0                  
8  ;TYC 3986-2614-1                    ;PM*;22 20 07.2874023264 +54 46 10.888792932;     ~   ;11.65    ;11.22    ;     ~   ;10.788946;G8V                 
9  ;TYC 4034-548-1                     ;PM*;01 19 54.4340262624 +62 40 27.654522816;     ~   ;10.27    ;9.70     ;     ~   ;9.578794 ;~                   
10 ;HD 12801                           ;Em*;02 07 20.1793773864 +57 54 23.735521728;     ~   ;10.53    ;9.88     ;     ~   ;9.759963 ;G0                  
11 ;Cl Melotte 20 1333                 ;PM*;03 40 31.2080949888 +48 46 33.115277352;     ~   ;11.37    ;10.57    ;     ~   ;10.522895;~                   
12 ;TYC 3330-2333-1                    ;*  ;03 54 43.6994960616 +46 59 29.306847192;     ~   ;11.47    ;10.52    ;     ~   ;10.484595;~                   
